Designator,Footprint,Quantity,Value,LCSC Part #
ANT401,ANTC3216X140N,1,2450AT18A100E,
"C201, C203",0603,2,4u7,
C202,0603,1,1u,
"C301, C302",0603,2,2u2,
"C401, C402",0201,2,15p,
"C403, C404, C405, C408, C411, C412, C414, C415, C416",0201,9,100n,
"C406, C407",0201,2,C,
C409,0603,1,10u,
"C410, C413",0402,2,1u,
"D201, D202, D401",0402,3,LED,
"J1_2, J1",DF40C-60DP-0.4V(51),2,DF40C-60DP-0.4V(51),
J2,usb-c-pcb,1,Bare PCB USB C,
L401,0201,1,L,
"R1, R2",0402,2,R,
"R101, R102",0201,2,5.1k,
R201,0402,1,0,
R202,0402,1,36k5,
R203,0402,1,590,
R204,0402,1,1k1,
"R205, R206",0402,2,1k5,
R207,0402,1,100k,
R301,0201,1,0k,
R401,0201,1,0,
R402,0402,1,2k,
"R403, R404",0201,2,10k,
"R405, R406, R407, R408",0201,4,nu,
"SW401, SW402",B3U-1000P,2,SW_Push,
U201,QFN50P300X300X100-17N-D,1,BQ24075RGTR,
U301,SON40P120X120X60-7N-D,1,MIC5528-3.3YMT-T5,
U401,QFN40P700X700X90-57N-D,1,ESP32-S2FH4,
Y601,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,Crystal_GND24_Small,
