"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C409";"C_0201_0603Metric";1;"820p";;;
2;"R204";"R_0201_0603Metric";1;"470k";;;
3;"L401";"L_0201_0603Metric";1;"4n7";;;
4;"D202,D203,D201";"LED_0402_1005Metric";3;"LED";;;
5;"C204,C202,C203";"C_0603_1608Metric";3;"10u";;;
6;"J401,J402";"SolderWirePad_1x01_SMD_1x2mm";2;"Conn_01x01_Pin";;;
7;"C420,C421,C406";"C_0603_1608Metric";3;"4u7";;;
8;"C208";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"10u";;;
9;"L201,L202";"L_0603_1608Metric";2;"2u2";;;
10;"C461,C408,C407,C405,C412";"C_0201_0603Metric";5;"100n";;;
11;"U201";"NPM1300-QEAA-R";1;"NPM1300-QEAA-R";;;
12;"J2";"u.fl";1;"U.FL-R-SMT-1_40_";;;
13;"C207";"C_0402_1005Metric";1;"10u";;;
14;"J1";"usb-c-pcb";1;"Bare PCB USB C";;;
15;"C201,C205,C415,C414";"C_0402_1005Metric";4;"1u";;;
16;"SW461";"B3U-1000P";1;"SW_Push";;;
17;"C410,C413";"C_0402_1005Metric";2;"nc";;;
18;"C403";"C_0201_0603Metric";1;"0p8";;;
19;"C206";"C_0603_1608Metric";1;"2u2";;;
20;"C411";"C_0201_0603Metric";1;"100p";;;
21;"C404";"C_0201_0603Metric";1;"0p5";;;
22;"R203";"R_0201_0603Metric";1;"47k";;;
23;"R461,R205";"R_0201_0603Metric";2;"10k";;;
24;"L402";"L_0603_1608Metric";1;"10u";;;
25;"L403";"L_0402_1005Metric";1;"15n";;;
26;"Y401";"830108161301_1.6x1.2mm";1;"830108161301";;;
27;"C416";"C_0402_1005Metric";1;"47n";;;
28;"U401";"Nordic_AQFN-73-1EP_7x7mm_P0.5mm";1;"nRF52840-QIAA-aQFN73";;;
29;"J101";"DF40C-60DP-0.4V(51)";1;"DF40C-60DP-0.4V(51)";;;
30;"C401,C402";"C_0201_0603Metric";2;"12p";;;
